Arvo
Pershing
Boleslaw
Zygmunt
Sulo
Lempi
Tauno
Wilho
Borghild
Gottlieb
Isidor
Concettina
Casmer
Walfred
Woodroe
Hildur
Williard
Casmere
Elzie
Bronislaw
Myer
Ludger
Evia
Doctor
Ivah
Hymen
Coy
Aune
Wataru
Bell
Casmir
Bilbo
Guerino
Byford
Helmuth
Helmi
Elynor
Seward
Samie
Luciel
Chiyo
Ottilie
Alfons
Duard
Toivo
Verne
Hisayo
Cleburne
Adger
Tsurue
Broward
Bartow
Euell
Margueritte
Arietta
Draxie
Ovila
Eino
Gorman
Parlee
Lular
Hatsuyo
Zigmond
Idamae
Stonewall
Eliga
Bertis
Mabelle
Eathel
Avo
Hermie
Weaver
Wendelin
Mabell
Gudrun
Moe
Reino
Clotile
Lilliemae
Blanton
Vestal
Waino
Hertha
Williemae
Enis
Sigurd
Masayo
Hildreth
Toshi
Estanislada
Ludell
Ugo
Clella
Selmer
Lumir
Woodson
Tatsuko
Cleona
Wilborn
Othmar
Veryl
Valborg
Marrie
Boleslaus
Ewald
Hilma
Edia
Lethia
Wilna
Onelia
Clois
Pluma
Lavaun
Taimi
Milda
Zilphia
Donie
Mell
Toru
Achille
Reubin
Lovie
Rollo
Reinhold
Zelpha
Nealie
Hobson
Ludie
Shinichi
Afton
Elmire
Norvell
Lether
Shizu
Clotine
Clemence
Harvey
Obelia
Opie
Alphonsus
Veachel
Tadeusz
Hardie
Rodgers
Alven
Goldman
Cabell
Cephas
Aurore
Opal
Aloys
Helmer
Norvel
Lella
Meade
Amerigo
Hulda
Statia
Estell
Fate
Columbia
Dezzie
Lloyd
Charmie
Novelle
Ennis
Elnore
Florance
Elmyra
Verbie
Kiyono
Electa
Clariece
Clemence
Earley
Kaoru
Ethyl
Einar
Exa
Stanislaus
Ichiro
Virgil
Zigmund
Matsuyo
Victorine
Modelle
Marinus
Selig
Pierina
Sedalia
Heloise
Luceal
Juluis
Shigeto
Loraine
Romolo
Eulas
Hiromu
Kimiyo
Buena
Elige
Bronislaus
Altie
Carmino
Izora
Kimiye
Helvi
Masayoshi
Ermal
Burney
Remmel
Anatole
Simpson
Kerney
Robah
Pearle
Vassie
Egbert
Henriette
Ersie
Utah
Adelard
Enes
Irean
Leaner
Zera
Woodie
Euphemia
Ancel
Kazuye
Kameko
Chiyono
Fumiyo
Valada
Cloma
Pota
Onnolee
Petronella
Sadamu
Tullio
Lehman
Harlie
Norfleet
Arlee
Posey
Harding
Vola
Arbie
